,Year,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Strongeststorm,Major landfalling storms,Notes
0,1870,11,10,2,87.8,2052,3 Four,"3 ""First Key West"" 2 ""Second Key West""",
1,1871,8,6,2,88.39,30,"3 Three 3 ""Santa Juana""","3 Hurricane Three 3 ""Santa Juana""",
2,1872,5,4,0,65.38,Unknown,2 Two,,
3,1873,5,3,2,69.47,626,"3 ""Central Florida""","3 ""Central Florida""",
4,1874,7,4,0,47.05,Unknown,2 Seven,,
5,1875,6,5,1,72.48,800,"3 ""Indianola""","3 ""Indianola""",
6,1876,5,4,2,56.05,19,"3 ""San Felipe""","3 ""San Felipe"" 3 ""Cuba-South Florida""",
7,1877,8,3,1,73.36,34,"3 ""Florida Panhandle""","3 ""Florida Panhandle""",
8,1878,12,10,1,180.85,108,4 Seven,2 Gale of 1878,
9,1879,8,6,2,63.63,47,"3 ""Louisiana""","3 ""Great Beaufort"" 3 ""Louisiana""",
