,Year,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Damage(USD),Strongeststorm,Major landfalling storms,Notes
0,1910,5,3,1,63.9,100,$1.25 million,"4 ""Cuba""","4 ""Cuba""",
1,1911,6,3,0,34.29,27,$3 million,2 Three,,
2,1912,7,4,1,57.26,116,"$67,000","3 ""Jamaica""","3 ""Jamaica""",
3,1913,6,4,0,35.6,5,$4 million,1 Four,,
4,1914,1,0,0,2.53,0,Unknown,TS One,,"Least active season on record.One of two seasons with no recorded hurricanes, with the other being 1907."
5,1915,6,5,4,130.1,675,$63 million,"4 ""New Orleans""","4 ""Galveston"" 4 ""New Orleans""",Two Category 4 hurricanes made landfall in the United States.
6,1916,15,10,5,144.01,31,$5.9 million,"4 ""Texas""","3 ""Gulf Coast"" 3 ""Charleston"" 4 ""Texas""",
7,1917,4,2,2,60.67,5,"$170,000","4 ""Nueva Gerona""","4 ""Nueva Gerona""",
8,1918,6,4,1,39.87,34,$5+ million,"3 ""Louisiana""","3 ""Louisiana""",
9,1919,5,2,1,55.04,~900,$22 million,"4 ""Florida Keys""","4 ""Florida Keys""",
