,Year,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Damage(USD),Strongeststorm,Retirednames,Notes
0,1950,16,11,6,211.28,20,$37 million,4 Dog,None,Record-breaking 8 tropical storms in October.
1,1951,12,8,3,126.33,257,$80 million,4 Easy,None,
2,1952,11,5,2,69.08,607,$3.75 million,4 Fox,None,Includes the only known February tropical cyclone in the basin.
3,1953,14,7,3,98.51,1,$6 million,5 Carol,None,First year of female names for storms.[19]One of only 4 seasons to have both a preseason and postseason storm.
4,1954,16,7,3,110.88,1069,$752 million,4 Hazel,3 Carol 3 Edna 4 Hazel,"Includes Alice, one of only two storms in the basin to span two calendar years, tying for the latest storm in a season.[20]"
5,1955,13,9,4,158.17,1518,$1.2 billion,5 Janet,4 Connie 2 Diane 4 Ione 5 Janet,
6,1956,12,4,1,56.67,76,$67.8 million,3 Betsy,None,
7,1957,8,3,2,78.66,513,$152.5 million,4 Carrie,3 Audrey,One of only two seasons to feature a major hurricane in June.
8,1958,12,7,3,109.69,41,$12 million,4 Helene,None,
9,1959,14,7,2,77.11,59,$23.3 million,4 Gracie,4 Gracie,
