,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
0,One,"June 25 – 28, 1851",90,977,"Texas, Mexico",1,,June 25 – 28,1851,June
1,Two,"July 5 – 6, 1851",90,978,Mexico,0,,July 5 – 6,1851,July
2,Hurricane San Lorenzo of 1852,"September 5 – 6, 1852",80,Unknown,"Puerto Rico, Hispaniola",≥ 100,,September 5 – 6,1852,September
3,Three,"September 9 – 13, 1852",80,985,"Florida, The Bahamas",0,,September 9 – 13,1852,September
4,Four,"September 22 – 30, 1852",90,Unknown,Leeward Islands,0,,September 22 – 30,1852,September
5,Six,"September 26 – October 1, 1853",80,Unknown,Bermuda,0,,September 26 – October 1,1853,September
6,One,"June 25 – 27, 1854",80,982,"Texas, Mexico",0,,June 25 – 27,1854,June
7,Three,"August 11, 1855",80,Unknown,None,0,,August 11,1855,August
8,Two,"August 13 – 14, 1856",80,Unknown,"Barbados, Grenada, Windward Islands",0,,August 13 – 14,1856,August
9,Six,"September 18 – 22, 1856",80,Unknown,None,0,,September 18 – 22,1856,September
10,Three,"September 20 – 26, 1857",80,Unknown,None,0,,September 20 – 26,1857,September
11,One,"June 12, 1858",80,Unknown,None,0,,June 12,1858,June
12,Two,"August 5, 1858",80,Unknown,None,0,,August 5,1858,August
13,Four,"September 17 – 24, 1858",90,Unknown,None,0,,September 17 – 24,1858,September
14,Five,"September 22 – 25, 1858",90,Unknown,"Cuba, Haiti, The Bahamas",0,,September 22 – 25,1858,September
15,Three,"September 2 – 3, 1859",80,Unknown,Lesser Antilles,0,,September 2 – 3,1859,September
16,Five,"September 15 – 18, 1859",80,982,"Southeastern United States, Eastern United States",2,,September 15 – 18,1859,September
17,Eight,"October 24 – 29, 1859",90,974,"Mexico, Florida",Unknown,,October 24 – 29,1859,October
18,Three,"September 11, 1860",80,Unknown,None,0,,September 11,1860,September
19,Two,"August 13 – 17, 1861",90,978,"Hispaniola, The Bahamas, Cuba, Florida",0,,August 13 – 17,1861,August
20,Four,"September 17, 1861",80,Unknown,None,0,,September 17,1861,September
21,Five,"September 27 – 28, 1861",80,978,East Coast of the United States,0,,September 27 – 28,1861,September
22,The Expedition Hurricane of 1861,"November 1 – 3, 1861",80,985,East Coast of the United States,0,,November 1 – 3,1861,November
23,Five,"October 14 – 16, 1862",80,Unknown,New England,3,,October 14 – 16,1862,October
24,Five,"September 9 – 16, 1863",80,Unknown,Bermuda,0,,September 9 – 16,1863,September
25,One,"July 16 – 18, 1864",80,Unknown,Bermuda,0,,July 16 – 18,1864,July
26,Three,"August 26 – September 1, 1864",80,Unknown,"Leeward Islands, Central America",0,,August 26 – September 1,1864,August
27,Five,"October 22 – 24, 1864",80,Unknown,None,0,,October 22 – 24,1864,October
28,Three,"September 4 – 7, 1866",80,Unknown,"Bermuda, Newfoundland and Labrador",0,,September 4 – 7,1866,September
29,Four,"September 18 – 20, 1866",80,Unknown,None,0,,September 18 – 20,1866,September
30,One,"June 21 – 23, 1867",80,985,East Coast of the United States,0,,June 21 – 23,1867,June
31,Four,"August 31 – September 3, 1867",80,Unknown,New England,0,,August 31 – September 3,1867,August
32,Five,"September 4 – 6, 1869",80,985,Louisiana,0,,September 4 – 6,1869,September
33,The Mobile Hurricane of 1870,"July 30, 1870",80,985,"Alabama, Florida, Louisiana",Unknown,,July 30,1870,July
34,Five,"September 17 – 19, 1870",90,969,None,0,,September 17 – 19,1870,September
35,Seven,"October 7, 1870",80,Unknown,None,0,,October 7,1870,October
36,Eight,"October 10 – 11, 1870",80,Unknown,None,0,,October 10 – 11,1870,October
37,Eleven,"October 30 – November 3, 1870",80,Unknown,"Central America, Cuba, Florida",0,,October 30 – November 3,1870,October
38,Six,"September 5 – 8, 1871",80,Unknown,Florida,0,,September 5 – 8,1871,September
39,Seven,"September 30 – October 7, 1871",80,Unknown,Gulf Coast of the United States,0,,September 30 – October 7,1871,September
40,Eight,"October 10 – 13, 1871",80,Unknown,Nova Scotia,0,,October 10 – 13,1871,October
41,Three,"September 9 – 20, 1872",80,Unknown,Windward Islands,0,,September 9 – 20,1872,September
42,Four,"September 30 – October 6, 1872",80,Unknown,None,0,,September 30 – October 6,1872,September
43,Five,"October 22 – 27, 1872",80,Unknown,"Gulf of Mexico, East Coast of the United States",0,,October 22 – 27,1872,October
44,Three,"September 18 – 20, 1873",80,985,"Gulf of Mexico, Florida, Georgia",0,,September 18 – 20,1873,September
45,Two,"August 3 – 7, 1874",80,Unknown,Bermuda,0,,August 3 – 7,1874,August
46,Three,"August 29 – September 7, 1874",90,980,Newfoundland and Labrador,0,,August 29 – September 7,1874,August
47,Six,"September 25 – 30, 1874",90,981,Gulf of Mexico,0,,September 25 – 30,1874,September
48,One,"August 16 – 19, 1875",80,Unknown,None,0,,August 16 – 19,1875,August
49,Two,"September 1 – 10, 1875",80,982,None,0,,September 1 – 10,1875,September
50,Six,"October 12 – 16, 1875",80,Unknown,East Coast of the United States,0,,October 12 – 16,1875,October
51,One,"September 9 – 11, 1876",90,970,"Bermuda, Nova Scotia",0,,September 9 – 11,1876,September
52,Two,"September 14 – 21, 1877",80,985,Gulf Coast of the United States,0,,September 14 – 21,1877,September
53,Three,"September 16 – 22, 1877",80,Unknown,Atlantic Canada,0,,September 16 – 22,1877,September
54,Two,"August 8 – 19, 1878",80,Unknown,"Leeward Islands, Gulf of Mexico",Unknown,,August 8 – 19,1878,August
55,Three,"August 19 – 20, 1878",90,963,Atlantic Canada,0,,August 19 – 20,1878,August
56,Eight,"October 9 – 14, 1878",80,982,East Coast of the United States,27,,October 9 – 14,1878,October
57,Nine,"October 9 – 15, 1878",80,Unknown,None,0,,October 9 – 15,1878,October
58,One,"August 9 – 12, 1879",80,Unknown,East Coast of the United States,0,,August 9 – 12,1879,August
59,Seven,"October 24 – 29, 1879",80,Unknown,East Coast of the United States,0,,October 24 – 29,1879,October
60,Three,"August 15 – 20, 1880",90,980,Lesser Antilles,0,,August 15 – 20,1880,August
61,Five,"August 26 – September 4, 1880",90,977,None,0,,August 26 – September 4,1880,August
62,Six,"September 6 – 10, 1880",80,987,Florida,0,,September 6 – 10,1880,September
63,Seven,"September 8 – 10, 1880",90,982,Newfoundland and Labrador,0,,September 8 – 10,1880,September
64,Nine,"October 5 – 10, 1880",80,985,Gulf of Mexico,0,,October 5 – 10,1880,October
65,Ten,"October 10 – 14, 1880",90,970,None,0,,October 10 – 14,1880,October
66,Three,"August 11 – 18, 1881",90,Unknown,None,0,,August 11 – 18,1881,August
67,Four,"August 16 – 21, 1881",80,Unknown,"Yucatán Peninsula, Cuba, Florida, The Bahamas",Unknown,,August 16 – 21,1881,August
68,One,"August 24 – 25, 1882",80,Unknown,None,0,,August 24 – 25,1882,August
69,Five,"September 24 – 28, 1882",80,Unknown,None,0,,September 24 – 28,1882,September
70,One,"August 18 – 27, 1883",90,975,None,0,,August 18 – 27,1883,August
71,One,"September 1 – 2, 1884",80,997,Newfoundland and Labrador,0,,September 1 – 2,1884,September
72,Three,"September 10 – 19, 1884",90,979,"The Bahamas, Florida, Georgia",0,,September 10 – 19,1884,September
73,One,"August 7 – 13, 1885",90,981,Bermuda,0,,August 7 – 13,1885,August
74,Four,"September 17 – 23, 1885",90,973,"Gulf Coast of the United States, East Coast of the United States",4,,September 17 – 23,1885,September
75,Five,"September 18 – 21, 1885",80,999,Lesser Antilles,0,,September 18 – 21,1885,September
76,Six,"September 24 – October 2, 1885",80,Unknown,Gulf Coast of the United States,Unknown,,September 24 – October 2,1885,September
77,Seven,"September 26 – 29, 1885",90,982,None,0,,September 26 – 29,1885,September
78,Four,"July 14 – 22, 1886",85,990,"Yucatán Peninsula, Cuba, Florida",Unknown,,July 14 – 22,1886,July
79,Ten,"September 14 – 18, 1887",80,983,Newfoundland and Labrador,0,,September 14 – 18,1887,September
80,Thirteen,"October 9 – 20, 1887",85,981,"Lesser Antilles, East Coast of the United States",Unknown,,October 9 – 20,1887,October
81,Fourteen,"October 10 – 12, 1887",85,989,None,0,,October 10 – 12,1887,October
82,Seventeen,"November 27 – December 4, 1887",80,Unknown,The Bahamas,0,,November 27 – December 4,1887,November
83,Eighteen,"December 4 – 8, 1887",80,Unknown,None,0,,December 4 – 8,1887,December
84,One,"June 16 – 18, 1888",80,985,Texas,Unknown,,June 16 – 18,1888,June
85,Six,"September 23 – 26, 1888",80,985,East Coast of the United States,Unknown,,September 23 – 26,1888,September
86,One,"May 16 – 21, 1889",80,Unknown,None,0,,May 16 – 21,1889,May
87,Two,"June 15 – 20, 1889",75,Unknown,"Cuba, Yucatán Peninsula, East Coast of the United States",Unknown,,June 15 – 20,1889,June
88,Three,"August 18 – 28, 1889",80,998,"Hispaniola, The Bahamas",Unknown,,August 18 – 28,1889,August
89,Five,"September 2 – 11, 1889",80,Unknown,None,0,,September 2 – 11,1889,September
90,Four,"October 31 – November 1, 1890",90,Unknown,Central America,Unknown,,October 31 – November 1,1890,October
91,One,"July 3 – 8, 1891",90,977,Gulf Coast of the United States,10,,July 3 – 8,1891,July
92,Two,"August 17 – 29, 1891",80,997,Cape Verde,0,,August 17 – 29,1891,August
93,Nine,"October 12 – 20, 1891",85,992,"Windward Islands, Virgin Islands, Newfoundland and Labrador",Unknown,,October 12 – 20,1891,October
94,Two,"August 15 – 21, 1892",75,Unknown,Leeward Islands,Unknown,,August 15 – 21,1892,August
95,Eight,"October 13 – 17, 1892",90,Unknown,None,0,,October 13 – 17,1892,October
96,One,"June 10 – 19, 1893",80,990,"Gulf Coast of the United States, East Coast of the United States",Unknown,,June 10 – 19,1893,June
97,Two,"September 10 – 13, 1897",85,981,"Louisiana, Texas",29,,September 10 – 13,1897,September
98,Five,"October 9 – 21, 1897",80,993,"Cuba, The Bahamas, North Carolina, New England",188,,October 9 – 21,1897,October
99,One,"August 2 – 3, 1898",80,982,"The Bahamas, Florida, Alabama",12,,August 2 – 3,1898,August
100,Two,"August 30 – September 1, 1898",85,980,Georgia,Unknown,[citation needed],August 30 – September 1,1898,August
101,Three,"September 3 – 5, 1898",80,Unknown,None,0,,September 3 – 5,1898,September
102,Hurricane San Cirillo of 1901,"July 4 – 13, 1901",80,983,"Windward Islands, The Bahamas, East Coast of the United States",Unknown,,July 4 – 13,1901,July
103,1901 Louisiana hurricane,"August 1 – 21, 1901",90,973,"The Bahamas, Gulf Coast of the United States",Unknown,,August 1 – 21,1901,August
104,Six,"August 25 – 30, 1901",80,991,Cape Verde,0,,August 25 – 30,1901,August
105,Hurricane San Vicente of 1901,"September 9 – 18, 1901",80,"1,001",Lesser Antilles,Unknown,,September 9 – 18,1901,September
106,Thirteen,"October 30 – November 5, 1901",80,989,Puerto Rico,0,,October 30 – November 5,1901,October
107,Two,"June 21 – 28, 1902",80,995,Gulf of Mexico,Unknown,,June 21 – 28,1902,June
108,One,"July 21 – 26, 1903",80,999,"The Bahamas, Bermuda",Unknown,,July 21 – 26,1903,July
109,1903 Florida hurricane,"September 9 – 16, 1903",90,974,"The Bahamas, Gulf Coast of the United States",Unknown,$500 thousand,September 9 – 16,1903,September
110,Ten,"November 17 – 25, 1903",80,985,None,0,,November 17 – 25,1903,November
111,One,"June 10 – 14, 1904",80,"1,003",Cuba,Unknown,,June 10 – 14,1904,June
112,Two,"September 8 – 15, 1904",80,985,East Coast of the United States,27,$500 thousand,September 8 – 15,1904,September
113,Three,"September 28 – October 4, 1904",80,Unknown,Central America,Unknown,,September 28 – October 4,1904,September
114,Four,"October 12 – 21, 1904",80,989,"Cuba, Florida, The Bahamas",Unknown,,October 12 – 21,1904,October
115,Five,"September 3 – 18, 1906",90,977,East Coast of the United States,7,$2 million,September 3 – 18,1906,September
116,Eleven,"November 5 – 9, 1906",80,997,"Cuba, The Bahamas",Unknown,,November 5 – 9,1906,November
117,Two,"May 24 – 31, 1908",75,989,"The Bahamas, East Coast of the United States",Unknown,,May 24 – 31,1908,May
118,Three,"July 24 – August 3, 1908",80,985,"The Bahamas, East Coast of the United States",Unknown,,July 24 – August 3,1908,July
119,Two,"August 8 – 14, 1911",80,982,Gulf Coast of the United States,Unknown,"$12,600",August 8 – 14,1911,August
120,Four,"September 10 – 15, 1912",90,986,Gulf Coast of the United States,Unknown,$39 thousand,September 10 – 15,1912,September
121,Five,"October 6 – 10, 1912",90,996,Bermuda,Unknown,,October 6 – 10,1912,October
122,One,"June 21 – 29, 1913",75,988,Central America,0,,June 21 – 29,1913,June
123,Four,"August 30 – September 4, 1913",85,976,East Coast of the United States,5,$4 million,August 30 – September 4,1913,August
124,Five,"October 6 – 10, 1913",75,989,East Coast of the United States,Unknown,$75 thousand,October 6 – 10,1913,October
125,Six,"October 28 – 30, 1913",75,992,Cuba,0,,October 28 – 30,1913,October
126,One,"July 30 – August 4, 1915",75,990,East Coast of the United States,Unknown,$250 thousand,July 30 – August 4,1915,July
127,Eight,"August 27 – September 2, 1916",80,986,"Leeward Islands, Central America",Unknown,,August 27 – September 2,1916,August
128,Ten,"September 13 – 21, 1916",85,"1,000",None,0,,September 13 – 21,1916,September
129,Three,"August 23 – 26, 1918",75,988,South Carolina,0,,August 23 – 26,1918,August
130,Three,"September 19 –24, 1920",85,Unknown,East Coast of the United States,1,,September 19 –24,1920,September
131,Five,"September 25 – 30, 1920",85,987,Florida,1,,September 25 – 30,1920,September
132,One,"June 16 – 26, 1921",90,980,"Central America, Gulf of Mexico",0,,June 16 – 26,1921,June
133,Two,"September 4 – 8, 1921",80,985,Mexico,215,$19 million,September 4 – 8,1921,September
134,Four,"September 8 – 14, 1921",90,979,None,0,,September 8 – 14,1921,September
135,Three,"September 18 – 24, 1922",80,987,None,0,,September 18 – 24,1922,September
136,Four,"September 10 – 13, 1923",80,986,Newfoundland,0,,September 10 – 13,1923,September
137,Six,"October 12 – 17, 1923",80,983,"Mexico, Gulf Coast of the United States",0,,October 12 – 17,1923,October
138,Five,"September 13 – 17, 1924",85,980,East Coast of the United States,Unknown,,September 13 – 17,1924,September
139,Eleven,"November 5 – 14, 1924",80,994,"Cuba, The Bahamas",Unknown,,November 5 – 14,1924,November
140,One,"August 18 – 24, 1925",80,994,None,0,,August 18 – 24,1925,August
141,Two,"September 2 – 11, 1927",90,"1,007",Cape Verde,0,,September 2 – 11,1927,September
142,Three,"September 22 – 29, 1927",80,"1,005",None,19,$4.36 million,September 22 – 29,1927,September
143,1928 Haiti hurricane,"August 7 – 17, 1928",90,998,"Windward Islands, Leeward Islands, Gulf Coast of the United States",210,$2 million,August 7 – 17,1928,August
144,Six,"September 10 – 15, 1928",90,980,None,0,,September 10 – 15,1928,September
145,One,"June 27 — 30, 1929",90,982,Gulf of Mexico,Unknown,$365 thousand,June 27 — 30,1929,June
146,Five,"October 19 – 22, 1929",80,997,None,0,,October 19 – 22,1929,October
147,Eight,"September 23 – 28, 1931",75,987,None,0,,September 23 – 28,1931,September
148,1932 Florida–Alabama hurricane,"August 26 – September 2, 1932",85,979,Gulf Coast of the United States,Unknown,$226 thousand,August 26 – September 2,1932,August
149,1933 Florida–Mexico hurricane,"July 23 – August 5, 1933",90,975,"Leeward Islands, Gulf Coast of the United States, Mexico",Unknown,$500 thousand,July 23 – August 5,1933,July
150,Fifteen,"September 24 – 27, 1933",75,991,Azores,0,,September 24 – 27,1933,September
151,Eighteen,"October 25 – November 7, 1933",90,982,"Cuba, The Bahamas",23,$3 million,October 25 – November 7,1933,October
152,Two,"July 12 – 16, 1934",90,980,"Bermuda, Newfoundland and Labrador",0,,July 12 – 16,1934,July
153,Three,"July 22 – 26, 1934",85,975,Gulf Coast of the United States,Unknown,,July 22 – 26,1934,July
154,Five,"August 26 – September 1, 1934",80,989,Gulf Coast of the United States,Unknown,,August 26 – September 1,1934,August
155,1935 Jérémie hurricane,"October 18 – 27, 1935",85,988,"Central America, Jamaica, Cuba, Haiti",2150,,October 18 – 27,1935,October
156,Three,"June 26 – 28, 1936",80,987,Texas,Unknown,$550 thousand,June 26 – 28,1936,June
157,Eight,"August 15 – 20, 1936",75,999,"Yucatán Peninsula, Tamaulipas",0,,August 15 – 20,1936,August
158,Eleven,"August 28 – 30, 1936",80,"1,000","Yucatán Peninsula, Veracruz",0,,August 28 – 30,1936,August
159,Eleven,"October 19 – 21, 1937",80,995,None,0,,October 19 – 21,1937,October
