,Stormname,Track,Season,Dates as aCategory 4,Maximumsustained winds,Minimum pressure,Notes
0,Hurricane Charlie,,1951,August 19,130 mph (215 km/h),958 mbar (hPa; 28.29 inHg),
1,Hurricane Easy,,1951,September 7–8,150 mph (240 km/h),937 mbar (hPa; 27.67 inHg),
2,Hurricane Fox,,1952,October 15,145 mph (230 km/h),934 mbar (hPa; 27.58 inHg),
3,Hurricane Hazel,,1954,October 23–24,130 mph (215 km/h),938 mbar (hPa; 27.70 inHg),
4,Hurricane Connie,,1955,August 7,140 mph (220 km/h),944 mbar (hPa; 27.88 inHg),
5,Hurricane Ione,,1955,September 18,140 mph (220 km/h),938 mbar (hPa; 27.70 inHg),
6,Hurricane Carrie,,1957,September 7–8,140 mph (220 km/h),945 mbar (hPa; 27.91 inHg),
7,Hurricane Cleo,,1958,August 16,140 mph (220 km/h),947 mbar (hPa; 27.96 inHg),
8,Hurricane Daisy,,1958,August 28,130 mph (215 km/h),948 mbar (hPa; 27.99 inHg),
9,Hurricane Helene,,1958,September 27,150 mph (240 km/h),930 mbar (hPa; 27.46 inHg),
10,Hurricane Gracie,,1959,September 29,140 mph (220 km/h),950 mbar (hPa; 28.05 inHg),
11,Hurricane Donna,,1960,September 6–10,145 mph (230 km/h),930 mbar (hPa; 27.46 inHg),
12,Hurricane Betsy,,1961,September 5–6,130 mph (215 km/h),945 mbar (hPa; 27.91 inHg),
13,Hurricane Carla,,1961,September 10-11,145 mph (233 km/h),927 mbar (hPa; 27.73 inHg),
14,Hurricane Frances,,1961,October 7,130 mph (215 km/h),948 mbar (hPa; 27.99 inHg),
15,Hurricane Flora,,1963,October 2–3,150 mph (240 km/h),933 mbar (hPa; 27.55 inHg),
16,Hurricane Cleo,,1964,August 23–24,150 mph (240 km/h),938 mbar (hPa; 27.70 inHg),
17,Hurricane Dora,,1964,September 6,130 mph (215 km/h),942 mbar (hPa; 27.82 inHg),
18,Hurricane Gladys,,1964,September 17,130 mph (215 km/h),945 mbar (hPa; 27.91 inHg),
19,Hurricane Hilda,,1964,October 1–2,140 mph (220 km/h),941 mbar (hPa; 27.79 inHg),
20,Hurricane Betsy,,1965,September 4–9,140 mph (220 km/h),942 mbar (hPa; 27.82 inHg),
21,Hurricane Celia,,1970,August 3,140 mph (220 km/h),944 mbar (hPa; 27.88 inHg),
22,Hurricane Carmen,,1974,September 1–7,150 mph (240 km/h),928 mbar (hPa; 27.40 inHg),
23,Hurricane Gladys,,1975,October 2–3,140 mph (220 km/h),939 mbar (hPa; 27.73 inHg),
24,Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15]
