Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted),,,
Name,Disaster,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Severe Storms and Flooding (April 1980),Flooding,2473.8,7
Hurricane Maria (September 2017),Tropical Cyclone,103500,2981
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,36573,1260
Florida Freeze (January 1981),Freeze,1864.7,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1268.6,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1992.7,85
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1444.8,33
Severe Storms (June 1982),Severe Storm,1420.6,30
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,4454.6,45
Western Storms and Flooding (December 1982-March 1983),Flooding,4348.9,50
Hurricane Katrina (August 2005),Tropical Cyclone,180042.4,1833
Southeast Drought (Summer 1983),Drought,8595.9,0
Freeze / Cold Wave (December 1983),Freeze,5816.9,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1670.5,80
Severe Storms and Hail (June 1984),Severe Storm,1222.6,1
"Winter Storm, Cold Wave (January 1985)",Winter Storm,2251.3,150
Florida Freeze (January 1985),Freeze,3228,0
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1584,89
Hurricane Sandy (October 2012),Tropical Cyclone,79998.5,159
Hurricane Rita (September 2005),Tropical Cyclone,26455.1,119
Hurricane Ike (September 2008),Tropical Cyclone,38998.4,112
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,3640,62
Western Severe Storms and Flooding (February 1986),Severe Storm,1377.6,13
Southeast Drought/Heat Wave (Summer 1986),Drought,4671.5,100
U.S. Drought/Heat Wave (Summer 1988),Drought,49009.7,454
Southern Derecho and Severe Storms (May 1989),Severe Storm,1263,21
Tropical Storm Allison (June 1989),Tropical Cyclone,1339.7,11
Hurricane Irma (September 2017),Tropical Cyclone,57500,97
Northern Plains Drought (Summer-Fall 1989),Drought,7027.5,0
Florida Freeze (December 1989),Freeze,4680,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1530.7,100
Southern Flooding (May 1990),Flooding,2215.3,13
Colorado Hail Storm (July 1990),Severe Storm,1787.7,0
Western Fire Season (Summer 1990),Wildfire,1544.4,17
California Freeze (December 1990),Freeze,7582,0
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1354.5,0
