Track for Larry                2021
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/06/2021 17:20:22     22.059 N     53.440 W
09/06/2021 17:22:22     22.065 N     53.445 W
09/06/2021 17:24:21     22.070 N     53.449 W
09/06/2021 17:26:21     22.075 N     53.453 W
09/06/2021 17:28:22     22.080 N     53.457 W
09/06/2021 17:30:22     22.085 N     53.461 W
09/06/2021 17:32:21     22.091 N     53.466 W
09/06/2021 17:34:22     22.096 N     53.470 W
09/06/2021 17:36:22     22.101 N     53.474 W
09/06/2021 17:38:21     22.106 N     53.478 W
09/06/2021 17:40:21     22.111 N     53.482 W
09/06/2021 17:42:22     22.117 N     53.487 W
09/06/2021 17:44:22     22.122 N     53.491 W
09/06/2021 17:46:21     22.127 N     53.495 W
09/06/2021 17:48:21     22.132 N     53.499 W
09/06/2021 17:50:22     22.137 N     53.504 W
09/06/2021 17:52:22     22.142 N     53.508 W
09/06/2021 17:54:21     22.147 N     53.512 W
09/06/2021 17:56:21     22.153 N     53.516 W
09/06/2021 17:58:22     22.158 N     53.520 W
09/06/2021 18:00:22     22.163 N     53.524 W
09/06/2021 18:02:21     22.168 N     53.529 W
09/06/2021 18:04:22     22.173 N     53.533 W
09/06/2021 18:06:22     22.178 N     53.537 W
09/06/2021 18:08:21     22.183 N     53.541 W
09/06/2021 18:10:21     22.187 N     53.545 W
09/06/2021 18:12:22     22.192 N     53.549 W
09/06/2021 18:14:22     22.197 N     53.554 W
09/06/2021 18:16:21     22.202 N     53.558 W
09/06/2021 18:18:21     22.207 N     53.562 W
09/06/2021 18:20:22     22.212 N     53.566 W
09/06/2021 18:22:22     22.216 N     53.570 W
09/06/2021 18:24:21     22.221 N     53.574 W
09/06/2021 18:26:21     22.226 N     53.578 W
09/06/2021 18:28:22     22.230 N     53.583 W
09/06/2021 18:30:22     22.235 N     53.587 W
09/06/2021 18:32:21     22.239 N     53.591 W
09/06/2021 18:34:22     22.244 N     53.595 W
09/06/2021 18:36:22     22.248 N     53.599 W
09/06/2021 18:38:21     22.253 N     53.603 W
09/06/2021 18:40:21     22.257 N     53.607 W
09/06/2021 18:42:22     22.261 N     53.611 W
09/06/2021 18:44:22     22.265 N     53.615 W
09/06/2021 18:46:21     22.270 N     53.619 W
09/06/2021 18:48:21     22.274 N     53.623 W
09/06/2021 18:50:22     22.278 N     53.627 W
09/06/2021 18:52:22     22.282 N     53.631 W
09/06/2021 18:54:21     22.286 N     53.635 W
09/06/2021 18:56:21     22.290 N     53.639 W
09/06/2021 18:58:22     22.294 N     53.643 W
09/06/2021 19:00:22     22.297 N     53.647 W
09/06/2021 19:02:21     22.301 N     53.651 W
09/06/2021 19:04:22     22.305 N     53.655 W
09/06/2021 19:06:22     22.309 N     53.659 W
09/06/2021 19:08:21     22.312 N     53.663 W
09/06/2021 19:10:21     22.316 N     53.667 W
09/06/2021 19:12:22     22.319 N     53.671 W
09/06/2021 19:14:22     22.322 N     53.675 W
09/06/2021 19:16:21     22.326 N     53.679 W
09/06/2021 19:18:21     22.329 N     53.683 W
09/06/2021 19:20:22     22.332 N     53.687 W
09/06/2021 19:22:22     22.335 N     53.690 W
09/06/2021 19:24:21     22.338 N     53.694 W
09/06/2021 19:26:21     22.341 N     53.698 W
09/06/2021 19:28:22     22.344 N     53.702 W
09/06/2021 19:30:22     22.346 N     53.706 W
09/06/2021 19:32:21     22.349 N     53.709 W
09/06/2021 19:34:22     22.352 N     53.713 W
09/06/2021 19:36:22     22.354 N     53.717 W
09/06/2021 19:38:21     22.356 N     53.721 W
09/06/2021 19:40:21     22.359 N     53.724 W
09/06/2021 19:42:22     22.361 N     53.728 W
09/06/2021 19:44:22     22.363 N     53.732 W
09/06/2021 19:46:21     22.365 N     53.736 W
09/06/2021 19:48:21     22.367 N     53.739 W
09/06/2021 19:50:22     22.369 N     53.743 W
09/06/2021 19:52:22     22.371 N     53.747 W
09/06/2021 19:54:21     22.372 N     53.750 W
09/06/2021 19:56:21     22.374 N     53.754 W
09/06/2021 19:58:22     22.375 N     53.757 W
09/06/2021 20:00:22     22.377 N     53.761 W
09/06/2021 20:02:21     22.378 N     53.765 W
09/06/2021 20:04:22     22.379 N     53.768 W
09/06/2021 20:06:22     22.380 N     53.772 W
09/06/2021 20:08:21     22.381 N     53.775 W
09/06/2021 20:10:21     22.382 N     53.779 W
09/06/2021 20:12:22     22.383 N     53.782 W
09/06/2021 20:14:22     22.384 N     53.786 W
09/06/2021 20:16:21     22.384 N     53.789 W
09/06/2021 20:18:21     22.385 N     53.792 W
09/06/2021 20:20:22     22.385 N     53.796 W
09/06/2021 20:22:22     22.385 N     53.799 W
09/06/2021 20:24:21     22.385 N     53.803 W
09/06/2021 20:26:21     22.385 N     53.806 W
09/06/2021 20:28:22     22.385 N     53.809 W
09/06/2021 20:30:22     22.385 N     53.813 W
09/06/2021 20:32:21     22.384 N     53.816 W
09/06/2021 20:34:22     22.384 N     53.819 W
09/06/2021 20:36:22     22.383 N     53.822 W
09/06/2021 20:36:47     22.383 N     53.823 W
09/06/2021 20:38:47     22.384 N     53.827 W
09/06/2021 20:40:46     22.386 N     53.830 W
09/06/2021 20:42:46     22.387 N     53.834 W
09/06/2021 20:44:47     22.389 N     53.837 W
09/06/2021 20:46:46     22.390 N     53.841 W
09/06/2021 20:48:46     22.392 N     53.844 W
09/06/2021 20:50:47     22.393 N     53.848 W
09/06/2021 20:52:47     22.395 N     53.851 W
09/06/2021 20:54:46     22.396 N     53.855 W
09/06/2021 20:56:46     22.397 N     53.858 W
09/06/2021 20:58:47     22.399 N     53.862 W
09/06/2021 21:00:47     22.400 N     53.865 W
09/06/2021 21:02:46     22.402 N     53.869 W
09/06/2021 21:04:46     22.403 N     53.873 W
09/06/2021 21:06:47     22.405 N     53.876 W
09/06/2021 21:08:47     22.406 N     53.880 W
09/06/2021 21:10:46     22.408 N     53.883 W
09/06/2021 21:12:46     22.409 N     53.887 W
09/06/2021 21:14:47     22.411 N     53.890 W
09/06/2021 21:16:46     22.412 N     53.894 W
09/06/2021 21:18:46     22.414 N     53.897 W
09/06/2021 21:20:47     22.415 N     53.901 W
09/06/2021 21:22:47     22.417 N     53.904 W
09/06/2021 21:24:46     22.418 N     53.908 W
09/06/2021 21:26:46     22.420 N     53.911 W
09/06/2021 21:28:47     22.422 N     53.915 W
09/06/2021 21:30:47     22.423 N     53.918 W
09/06/2021 21:32:46     22.425 N     53.922 W
09/06/2021 21:34:46     22.426 N     53.925 W
09/06/2021 21:36:47     22.428 N     53.928 W
09/06/2021 21:38:47     22.429 N     53.932 W
09/06/2021 21:40:46     22.431 N     53.935 W
09/06/2021 21:42:46     22.433 N     53.939 W
09/06/2021 21:44:47     22.434 N     53.942 W
09/06/2021 21:46:46     22.436 N     53.946 W
09/06/2021 21:48:46     22.437 N     53.949 W
09/06/2021 21:50:47     22.439 N     53.953 W
09/06/2021 21:52:47     22.441 N     53.956 W
09/06/2021 21:54:46     22.442 N     53.960 W
09/06/2021 21:56:46     22.444 N     53.963 W
09/06/2021 21:58:47     22.446 N     53.966 W
09/06/2021 22:00:47     22.447 N     53.970 W
09/06/2021 22:02:46     22.449 N     53.973 W
09/06/2021 22:04:46     22.451 N     53.977 W
09/06/2021 22:06:47     22.452 N     53.980 W
09/06/2021 22:08:47     22.454 N     53.984 W
09/06/2021 22:10:46     22.456 N     53.987 W
09/06/2021 22:12:46     22.457 N     53.990 W
09/06/2021 22:14:47     22.459 N     53.994 W
09/06/2021 22:16:46     22.461 N     53.997 W
09/06/2021 22:18:46     22.462 N     54.001 W
09/06/2021 22:20:47     22.464 N     54.004 W
09/06/2021 22:22:47     22.466 N     54.007 W
09/06/2021 22:24:46     22.468 N     54.011 W
09/06/2021 22:26:46     22.469 N     54.014 W
09/06/2021 22:28:47     22.471 N     54.017 W
09/06/2021 22:30:47     22.473 N     54.021 W
09/06/2021 22:32:46     22.475 N     54.024 W
09/06/2021 22:34:46     22.477 N     54.027 W
09/06/2021 22:36:47     22.478 N     54.031 W
09/06/2021 22:38:47     22.480 N     54.034 W
09/06/2021 22:40:46     22.482 N     54.037 W
09/06/2021 22:42:46     22.484 N     54.041 W
09/06/2021 22:44:47     22.486 N     54.044 W
09/06/2021 22:46:46     22.488 N     54.047 W
09/06/2021 22:48:46     22.489 N     54.051 W
09/06/2021 22:50:47     22.491 N     54.054 W
09/06/2021 22:52:47     22.493 N     54.057 W
09/06/2021 22:54:46     22.495 N     54.061 W
09/06/2021 22:56:46     22.497 N     54.064 W
09/06/2021 22:58:47     22.499 N     54.067 W
09/06/2021 23:00:47     22.501 N     54.071 W
09/06/2021 23:02:46     22.503 N     54.074 W
09/06/2021 23:04:46     22.505 N     54.077 W
09/06/2021 23:06:47     22.507 N     54.080 W
09/06/2021 23:08:47     22.508 N     54.084 W
09/06/2021 23:10:46     22.510 N     54.087 W
09/06/2021 23:12:46     22.512 N     54.090 W
09/06/2021 23:14:47     22.514 N     54.093 W
09/06/2021 23:16:46     22.516 N     54.097 W
09/06/2021 23:18:46     22.518 N     54.100 W
09/06/2021 23:20:47     22.520 N     54.103 W
09/06/2021 23:22:47     22.522 N     54.106 W
09/06/2021 23:24:46     22.525 N     54.109 W
09/06/2021 23:26:46     22.527 N     54.113 W
09/06/2021 23:28:47     22.529 N     54.116 W
09/06/2021 23:30:47     22.531 N     54.119 W
09/06/2021 23:32:46     22.533 N     54.122 W
09/06/2021 23:34:46     22.535 N     54.125 W
09/06/2021 23:36:47     22.537 N     54.129 W
09/06/2021 23:38:47     22.539 N     54.132 W
09/06/2021 23:40:46     22.541 N     54.135 W
09/06/2021 23:42:46     22.543 N     54.138 W
09/06/2021 23:44:47     22.546 N     54.141 W
09/06/2021 23:46:46     22.548 N     54.144 W
09/06/2021 23:48:46     22.550 N     54.148 W
09/06/2021 23:50:47     22.552 N     54.151 W
09/06/2021 23:52:47     22.554 N     54.154 W
09/06/2021 23:54:46     22.557 N     54.157 W
09/06/2021 23:56:46     22.559 N     54.160 W
09/06/2021 23:58:47     22.561 N     54.163 W
09/07/2021 00:00:47     22.563 N     54.166 W
09/07/2021 00:02:46     22.566 N     54.169 W
09/07/2021 00:04:46     22.568 N     54.172 W
09/07/2021 00:06:47     22.570 N     54.175 W
09/07/2021 00:08:47     22.573 N     54.178 W
09/07/2021 00:10:46     22.575 N     54.182 W
09/07/2021 00:12:46     22.577 N     54.185 W
09/07/2021 00:14:47     22.580 N     54.188 W
09/07/2021 00:16:46     22.582 N     54.191 W
09/07/2021 00:18:46     22.584 N     54.194 W
09/07/2021 00:20:47     22.587 N     54.197 W
09/07/2021 00:22:47     22.589 N     54.200 W
09/07/2021 00:24:46     22.592 N     54.203 W
09/07/2021 00:26:46     22.594 N     54.206 W
09/07/2021 00:28:47     22.596 N     54.209 W
09/07/2021 00:30:47     22.599 N     54.212 W
09/07/2021 00:32:46     22.601 N     54.215 W
09/07/2021 00:34:46     22.604 N     54.218 W
09/07/2021 00:36:47     22.606 N     54.221 W
09/07/2021 00:38:47     22.609 N     54.224 W
09/07/2021 00:40:46     22.611 N     54.226 W
09/07/2021 00:42:46     22.614 N     54.229 W
09/07/2021 00:44:47     22.617 N     54.232 W
09/07/2021 00:46:46     22.619 N     54.235 W
09/07/2021 00:48:46     22.622 N     54.238 W
09/07/2021 00:50:47     22.624 N     54.241 W
09/07/2021 00:52:47     22.627 N     54.244 W
09/07/2021 00:54:46     22.630 N     54.247 W
09/07/2021 00:56:46     22.632 N     54.250 W
09/07/2021 00:58:47     22.635 N     54.253 W
09/07/2021 01:00:47     22.638 N     54.255 W
09/07/2021 01:02:46     22.640 N     54.258 W
09/07/2021 01:04:46     22.643 N     54.261 W
09/07/2021 01:06:47     22.646 N     54.264 W
09/07/2021 01:08:47     22.648 N     54.267 W
09/07/2021 01:10:46     22.651 N     54.270 W
09/07/2021 01:12:46     22.654 N     54.272 W
09/07/2021 01:14:47     22.657 N     54.275 W
09/07/2021 01:16:46     22.660 N     54.278 W
09/07/2021 01:18:46     22.662 N     54.281 W
09/07/2021 01:20:47     22.665 N     54.283 W
09/07/2021 01:22:47     22.668 N     54.286 W
09/07/2021 01:24:46     22.671 N     54.289 W
09/07/2021 01:26:46     22.674 N     54.292 W
09/07/2021 01:28:47     22.677 N     54.294 W
09/07/2021 01:30:47     22.680 N     54.297 W
09/07/2021 01:32:46     22.683 N     54.300 W
09/07/2021 01:34:46     22.686 N     54.303 W
09/07/2021 01:36:47     22.689 N     54.305 W
09/07/2021 01:38:47     22.692 N     54.308 W
09/07/2021 01:40:46     22.695 N     54.311 W
09/07/2021 01:42:46     22.698 N     54.313 W
09/07/2021 01:44:47     22.701 N     54.316 W
09/07/2021 01:46:46     22.704 N     54.319 W
09/07/2021 01:48:46     22.707 N     54.321 W
09/07/2021 01:50:47     22.710 N     54.324 W
09/07/2021 01:52:47     22.713 N     54.327 W
09/07/2021 01:54:46     22.716 N     54.329 W
09/07/2021 01:56:46     22.719 N     54.332 W
09/07/2021 01:58:47     22.722 N     54.335 W
09/07/2021 02:00:47     22.726 N     54.337 W
09/07/2021 02:02:46     22.729 N     54.340 W
09/07/2021 02:04:46     22.732 N     54.342 W
09/07/2021 02:06:47     22.735 N     54.345 W
09/07/2021 02:08:47     22.738 N     54.348 W
09/07/2021 02:10:46     22.742 N     54.350 W
09/07/2021 02:12:46     22.745 N     54.353 W
09/07/2021 02:14:47     22.748 N     54.355 W
09/07/2021 02:16:46     22.751 N     54.358 W
09/07/2021 02:18:46     22.755 N     54.360 W
09/07/2021 02:20:47     22.758 N     54.363 W
09/07/2021 02:22:47     22.761 N     54.366 W
09/07/2021 02:24:46     22.765 N     54.368 W
09/07/2021 02:26:46     22.768 N     54.371 W
09/07/2021 02:28:47     22.771 N     54.373 W
09/07/2021 02:30:47     22.775 N     54.376 W
09/07/2021 02:32:46     22.778 N     54.378 W
09/07/2021 02:34:46     22.781 N     54.381 W
09/07/2021 02:36:47     22.785 N     54.383 W
09/07/2021 02:38:47     22.788 N     54.386 W
09/07/2021 02:40:46     22.792 N     54.388 W
09/07/2021 02:42:46     22.795 N     54.391 W
09/07/2021 02:44:47     22.799 N     54.393 W
09/07/2021 02:46:46     22.802 N     54.396 W
09/07/2021 02:48:46     22.805 N     54.398 W
09/07/2021 02:50:47     22.809 N     54.401 W
09/07/2021 02:52:47     22.812 N     54.403 W
09/07/2021 02:54:46     22.816 N     54.406 W
09/07/2021 02:56:46     22.819 N     54.408 W
09/07/2021 02:58:47     22.823 N     54.411 W
09/07/2021 03:00:47     22.827 N     54.413 W
09/07/2021 03:02:46     22.830 N     54.416 W
09/07/2021 03:04:46     22.834 N     54.418 W
09/07/2021 03:06:47     22.837 N     54.421 W
09/07/2021 03:08:47     22.841 N     54.423 W
09/07/2021 03:10:46     22.844 N     54.426 W
09/07/2021 03:12:46     22.848 N     54.428 W
09/07/2021 03:14:47     22.852 N     54.431 W
09/07/2021 03:16:46     22.855 N     54.433 W
09/07/2021 03:18:46     22.859 N     54.436 W
09/07/2021 03:20:47     22.863 N     54.438 W
09/07/2021 03:22:47     22.866 N     54.441 W
09/07/2021 03:24:46     22.870 N     54.443 W
09/07/2021 03:26:46     22.874 N     54.446 W
09/07/2021 03:28:47     22.877 N     54.448 W
09/07/2021 03:30:47     22.881 N     54.451 W
09/07/2021 03:32:46     22.885 N     54.453 W
09/07/2021 03:34:46     22.889 N     54.456 W
09/07/2021 03:36:47     22.892 N     54.458 W
09/07/2021 03:38:47     22.896 N     54.460 W
09/07/2021 03:40:46     22.900 N     54.463 W
09/07/2021 03:42:46     22.904 N     54.465 W
09/07/2021 03:44:47     22.907 N     54.468 W
09/07/2021 03:46:46     22.911 N     54.470 W
09/07/2021 03:48:46     22.915 N     54.473 W
09/07/2021 03:50:47     22.919 N     54.475 W
09/07/2021 03:52:47     22.923 N     54.478 W
09/07/2021 03:54:46     22.926 N     54.480 W
09/07/2021 03:56:46     22.930 N     54.483 W
09/07/2021 03:58:47     22.934 N     54.485 W
09/07/2021 04:00:47     22.938 N     54.488 W
09/07/2021 04:02:46     22.942 N     54.490 W
09/07/2021 04:04:46     22.946 N     54.493 W
09/07/2021 04:06:47     22.950 N     54.495 W
09/07/2021 04:08:47     22.953 N     54.498 W
09/07/2021 04:10:46     22.957 N     54.500 W
09/07/2021 04:12:46     22.961 N     54.503 W
09/07/2021 04:14:47     22.965 N     54.505 W
09/07/2021 04:16:46     22.969 N     54.508 W
09/07/2021 04:18:46     22.973 N     54.510 W
09/07/2021 04:20:47     22.977 N     54.513 W
09/07/2021 04:22:47     22.981 N     54.515 W
09/07/2021 04:24:46     22.985 N     54.518 W
09/07/2021 04:26:46     22.989 N     54.520 W
09/07/2021 04:28:47     22.993 N     54.523 W
09/07/2021 04:30:47     22.997 N     54.526 W
09/07/2021 04:32:46     23.001 N     54.528 W
09/07/2021 04:34:46     23.005 N     54.531 W
09/07/2021 04:36:47     23.009 N     54.533 W
09/07/2021 04:38:47     23.013 N     54.536 W
09/07/2021 04:40:46     23.017 N     54.538 W
09/07/2021 04:42:46     23.021 N     54.541 W
09/07/2021 04:44:47     23.025 N     54.543 W
