,Year,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Damage(USD),Strongeststorm,Major landfalling storms,Notes
0,1940,9,6,0,67.79,101,$4.7 million,"2 ""New England""","2 ""South Carolina""",
1,1941,6,4,3,51.77,63,$10 million,"3 ""Florida""","3 ""Texas"" 4 ""Nicaragua"" 3 ""Florida""",
2,1942,11,4,1,62.49,17,$30.6 million,"3 ""Matagorda""","3 ""Matagorda""",
3,1943,10,5,2,94.01,19,$17.2 million,4 Three,"2 ""Surprise""",First year of hurricane hunters.
4,1944,14,8,3,104.45,1153,$202 million,"4 ""Great Atlantic""","4 ""Great Atlantic"" 4 ""Cuba–Florida""",
5,1945,11,5,2,63.42,80,$80 million,"4 ""Homestead""","3 ""Texas"" 4 ""Homestead""",
6,1946,7,3,0,19.61,5,$5.2 million,2 Four,"2 ""Florida""",
7,1947,10,5,2,88.49,94,$145.3 million,"4 ""Fort Lauderdale""","4 ""Fort Lauderdale"" (George) 2 ""Cape Sable"" (King)",First year of internal Atlantic tropical cyclone naming.[18]
8,1948,10,6,4,94.98,94,$30.9 million,"4 ""Florida""","4 ""Florida"" (Easy) 3 ""Miami"" (Fox)",
9,1949,16,7,3,96.45,3,$58.2 million,"4 ""Florida""","4 ""Florida"" 2 ""Texas""",
