,Year,Tropicalcyclones,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Damage(USD),Strongeststorm,Retirednames,Notes
0,1980,15,11,9,2,148.94,256,$1 billion,5 Allen,5 Allen,Includes the storm with the highest sustained winds attained so far in the Atlantic.
1,1981,18,12,7,3,100.38,10,$45 million,4 Harvey,None,
2,1982,9,6,2,1,31.5,141,$100 million,4 Debby,None,
3,1983,7,4,3,1,17.4,22,$2.6 billion,3 Alicia,3 Alicia,Least active hurricane season in the satellite era.
4,1984,17,13,5,1,84.3,35,$66 million,4 Diana,None,
5,1985,13,11,7,3,87.98,241,$4.5 billion,4 Gloria,3 Elena 4 Gloria,"Hurricane Kate struck Florida on November 21, the latest United States hurricane landfall."
6,1986,10,6,4,0,35.79,70,$57 million,2 Earl,None,
7,1987,14,7,3,1,34.36,10,$90 million,3 Emily,None,
8,1988,19,12,5,3,102.99,550,$7 billion,5 Gilbert,5 Gilbert 4 Joan,Included the strongest hurricane on record until 2005; first hurricane since 1978 to cross Central America
9,1989,15,11,7,2,135.13,112,$10.7 billion,5 Hugo,5 Hugo,
10,Total,137,93,52,17,778.71,1447,$26.2 billion,Gilbert,7 names,
