,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
0,Five,"October 6 – 11, 1852",105,969,"Jamaica, Yucatán Peninsula, Florida",Unknown,Minor,October 6 – 11,1852,October
1,Eight,"October 19 – 22, 1853",105,996,"Florida, Georgia",Unknown,Significant,October 19 – 22,1853,October
2,Four,"September 18 – 20, 1854",105,965,Texas,4,$20 thousand,September 18 – 20,1854,September
3,One,"August 6, 1855",105,Unknown,Tampico,Unknown,Unknown,August 6,1855,August
4,Two,"August 10 – 11, 1855",105,Unknown,No land areas,0,None,August 10 – 11,1855,August
5,Two,"September 6 – 17, 1857",105,961,"North Carolina, East Coast of the United States",424,Unknown,September 6 – 17,1857,September
6,Four,"September 24 – 30, 1857",105,Unknown,"Mexico, Texas",0,Unknown,September 24 – 30,1857,September
7,Three,"September 14 – 17, 1858",105,979,"Florida, New York, Massachusetts, Maine",0,Unknown,September 14 – 17,1858,September
8,Six,"October 21 – 26, 1858",105,Unknown,"Bahamas, Bermuda",0,Minor,October 21 – 26,1858,October
9,One,"July 1, 1859",105,Unknown,Mexico (Veracruz),0,Unknown,July 1,1859,July
10,Two,"August 17 – 19, 1859",105,982,No land areas,0,None,August 17 – 19,1859,August
11,Four,"September 12 – 13, 1859",105,Unknown,No land areas,0,None,September 12 – 13,1859,September
12,Two,"August 24 – 26, 1860",100,Unknown,No land areas,0,Minimal,August 24 – 26,1860,August
13,Four,"September 11 – 16, 1860",100,969,"Louisiana, Mississippi, Alabama",Unknown,>$1 million,September 11 – 16,1860,September
14,Six,"September 30 – October 3, 1860",105,969,"Louisiana, Mississippi",15+,Severe,September 30 – October 3,1860,September
15,Seven,"October 20 – 24, 1860",105,Unknown,No land areas,0,None,October 20 – 24,1860,October
16,One,"July 6 – 12, 1861",105,Unknown,No land areas,0,Minimal,July 6 – 12,1861,July
17,Three,"August 25 – 30, 1861",105,958,No land areas,0,None,August 25 – 30,1861,August
18,Two,"August 18 – 21, 1862",105,Unknown,No land areas,0,None,August 18 – 21,1862,August
19,Three,"September 12 – 20, 1862",105,Unknown,No land areas,0,None,September 12 – 20,1862,September
20,One,"August 8 – 9, 1863",105,Unknown,No land areas,0,None,August 8 – 9,1863,August
21,Two,"August 18 – 19, 1863",105,Unknown,No land areas,0,None,August 18 – 19,1863,August
22,Three,"August 19 – 23, 1863",105,975,St. Paul Island,0,Minor,August 19 – 23,1863,August
23,Four,"August 27 – 28, 1863",105,Unknown,No land areas,0,None,August 27 – 28,1863,August
24,Four,"September 6 – 14, 1865",105,969,"Guadeloupe, Louisiana, Texas",325,Severe,September 6 – 14,1865,September
25,Seven,"October 18 – 25, 1865",105,969,"Panama, Florida",1,$300 thousand,October 18 – 25,1865,October
26,One,"July 11 – 16, 1866",105,969,"Louisiana, Texas",Unknown,Unknown,July 11 – 16,1866,July
27,Two,"August 13 – 18, 1866",105,Unknown,"Mexico (Yucatán Peninsula, Veracruz)",Unknown,Minor,August 13 – 18,1866,August
28,Four,"September 22 – 24, 1866",105,Unknown,Newfoundland,8,Unknown,September 22 – 24,1866,September
29,Two,"July 28 – August 3, 1867",105,969,"East Coast of the United States, Massachusetts",13,High,July 28 – August 3,1867,July
30,Three,"August 2, 1867",105,Unknown,No land areas,0,None,August 2,1867,August
31,Six,"September 29 – October 1, 1867",105,Unknown,No land areas,0,None,September 29 – October 1,1867,September
32,Seven,"October 2 – 9, 1867",105,969,"Mexico (Tamaulipas), Texas, Louisiana, Gulf Coast of the United States, Florida, North Carolina","""Many""",Severe,October 2 – 9,1867,October
33,One,"September 3 – 7, 1868",105,Unknown,No land areas,2,Minimal,September 3 – 7,1868,September
34,Three,"October 5 – 7, 1868",105,Unknown,No land areas,0,None,October 5 – 7,1868,October
35,Four,"October 15 – 17, 1868",105,Unknown,No land areas,0,Minimal,October 15 – 17,1868,October
36,One,"August 12, 1869",105,Unknown,No land areas,0,None,August 12,1869,August
37,Two,"August 16 – 17, 1869",105,969,Texas,Unknown,Intense,August 16 – 17,1869,August
38,Seven,"September 11 – 18, 1869",105,979,No land areas,0,None,September 11 – 18,1869,September
39,Ten,"October 4 – 5, 1869",105,965,"New York, Connecticut, Massachusetts, Maine, New Brunswick",37,Severe,October 4 – 5,1869,October
40,Two,"August 30 – September 4, 1870",105,Unknown,No land areas,0,None,August 30 – September 4,1870,August
