,Stormname,Track,Season,Dates as aCategory 4,Maximumsustained winds,Minimum pressure,Notes
0,Hurricane Ella,,1978,September 4,140 mph (220 km/h),956 mbar (hPa; 28.23 inHg),
1,Hurricane Greta,,1978,September 18,130 mph (215 km/h),947 mbar (hPa; 27.96 inHg),
2,Hurricane Frederic,,1979,September 12–13,130 mph (215 km/h),943 mbar (hPa; 27.85 inHg),
3,Hurricane Harvey,,1981,September 14,130 mph (215 km/h),946 mbar (hPa; 27.94 inHg),
4,Hurricane Debby,,1982,September 18,130 mph (215 km/h),950 mbar (hPa; 28.05 inHg),
5,Hurricane Diana,,1984,September 11-12,130 mph (215 km/h),949 mbar (hPa; 28.02 inHg),
6,Hurricane Gloria,,1985,September 24-25,145 mph (230 km/h),919 mbar (hPa; 27.14 inHg),
7,Hurricane Helene,,1988,September 22-23,145 mph (230 km/h),938 mbar (hPa; 27.70 inHg),
8,Hurricane Joan,,1988,October 21-22,145 mph (230 km/h),932 mbar (hPa; 27.52 inHg),
9,Hurricane Gabrielle,,1989,September 4–7,145 mph (230 km/h),937 mbar (hPa; 27.67 inHg),
10,Hurricane Claudette,,1991,September 7,130 mph (215 km/h),944 mbar (hPa; 27.88 inHg),
11,Hurricane Felix,,1995,August 12-13,140 mph (220 km/h),929 mbar (hPa; 27.43 inHg),
12,Hurricane Luis,,1995,September 1-8,150 mph (240 km/h),935 mbar (hPa; 27.61 inHg),
13,Hurricane Opal,,1995,October 4,150 mph (240 km/h),916 mbar (hPa; 27.05 inHg),
14,Hurricane Edouard,,1996,August 25-28,145 mph (230 km/h),933 mbar (hPa; 27.55 inHg),
15,Hurricane Hortense,,1996,September 12–13,140 mph (220 km/h),935 mbar (hPa; 27.61 inHg),
16,Hurricane Georges,,1998,September 19-20,155 mph (250 km/h),937 mbar (hPa; 27.67 inHg),
17,Hurricane Bret,,1999,August 22,145 mph (230 km/h),944 mbar (hPa; 27.88 inHg),
18,Hurricane Cindy,,1999,August 28-29,140 mph (220 km/h),942 mbar (hPa; 27.81 inHg),
19,Hurricane Floyd,,1999,September 12-14,155 mph (250 km/h),921 mbar (hPa; 27.2 inHg),
20,Hurricane Gert,,1999,September 15–17,150 mph (240 km/h),930 mbar (hPa; 27.46 inHg),
21,Hurricane Lenny,,1999,November 17-18,155 mph (250 km/h),933 mbar (hPa; 27.55 inHg),
22,Hurricane Isaac,,2000,September 28-29,140 mph (220 km/h),943 mbar (hPa; 27.85 inHg),
23,Hurricane Keith,,2000,October 1,140 mph (220 km/h),939 mbar (hPa; 27.73 inHg),
24,Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15]
