,Stormname,Track,Season,Dates as aCategory 4,Maximumsustained winds,Minimum pressure,Notes
0,Hurricane Iris,,2001,October 8–9,145 mph (230 km/h),948 mbar (hPa; 27.99 inHg),
1,Hurricane Michelle,,2001,November 3–4,140 mph (220 km/h),933 mbar (hPa; 27.55 inHg),
2,Hurricane Lili,,2002,October 2–3,145 mph (230 km/h),938 mbar (hPa; 27.70 inHg),
3,Hurricane Fabian,,2003,August 31–September 5,145 mph (230 km/h),939 mbar (hPa; 27.73 inHg),
4,Hurricane Charley,,2004,August 13,150 mph (240 km/h),941 mbar (hPa; 27.79 inHg),
5,Hurricane Frances,,2004,August 28–September 2,145 mph (230 km/h),935 mbar (hPa; 27.61 inHg),
6,Hurricane Karl,,2004,September 20–21,145 mph (230 km/h),938 mbar (hPa; 27.70 inHg),
7,Hurricane Dennis,,2005,July 8–10,150 mph (240 km/h),930 mbar (hPa; 27.46 inHg),
8,Hurricane Gustav,,2008,August 30–31,155 mph (250 km/h),941 mbar (hPa; 27.79 inHg),
9,Hurricane Ike,,2008,September 4–8,145 mph (230 km/h),935 mbar (hPa; 27.61 inHg),
10,Hurricane Omar,,2008,October 16,130 mph (215 km/h),958 mbar (hPa; 28.29 inHg),
11,Hurricane Paloma,,2008,November 8,145 mph (230 km/h),944 mbar (hPa; 27.88 inHg),
12,Hurricane Bill,,2009,August 19–20,130 mph (215 km/h),943 mbar (hPa; 27.85 inHg),
13,Hurricane Danielle,,2010,August 27,130 mph (215 km/h),942 mbar (hPa; 27.82 inHg),
14,Hurricane Earl,,2010,August 30–September 2,145 mph (230 km/h),927 mbar (hPa; 27.37 inHg),
15,Hurricane Igor,,2010,September 12–17,155 mph (250 km/h),924 mbar (hPa; 27.29 inHg),
16,Hurricane Julia,,2010,September 15,140 mph (220 km/h),948 mbar (hPa; 27.99 inHg),
17,Hurricane Katia,,2011,September 6,140 mph (220 km/h),942 mbar (hPa; 27.82 inHg),
18,Hurricane Ophelia,,2011,October 2,140 mph (220 km/h),940 mbar (hPa; 27.76 inHg),
19,Hurricane Gonzalo,,2014,October 15–17,145 mph (230 km/h),940 mbar (hPa; 27.76 inHg),
20,Hurricane Joaquin,,2015,October 1–3,155 mph (250 km/h),931 mbar (hPa; 27.64 inHg),
21,Hurricane Nicole,,2016,October 12–13,140 mph (220 km/h),950 mbar (hPa; 28.05 inHg),
22,Hurricane Harvey,,2017,August 26,130 mph (215 km/h),937 mbar (hPa; 27.67 inHg),
23,Hurricane Jose,,2017,September 8–10,155 mph (250 km/h),938 mbar (hPa; 27.70 inHg),
24,Hurricane Florence,,2018,September 5–12,150 mph (240 km/h),937 mbar (hPa; 27.67 inHg),
25,Hurricane Laura,,2020,August 26–27,150 mph (240 km/h),937 mbar (hPa; 27.67 inHg),
26,Hurricane Teddy,,2020,September 17–18,140 mph (220 km/h),945 mbar (hPa; 27.91 inHg),
27,Hurricane Delta,,2020,October 6,140 mph (220 km/h),953 mbar (hPa; 28.14 inHg),
28,Hurricane Eta,,2020,November 2–3,150 mph (240 km/h),923 mbar (hPa; 27.26 inHg),
29,Hurricane Iota,,2020,November 16–17,155 mph (250 km/h),917 mbar (hPa; 27.08 inHg),
30,Hurricane Ida,,2021,August 29,150 mph (240 km/h),929 mbar (hPa; 27.43 inHg),
31,Hurricane Sam,,2021,September 25–October 2,155 mph (250 km/h),927 mbar (hPa; 27.4 inHg),
32,Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15]
