,Category,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars ,DateImpact,Landfall,Month,Day,Year,FULLDATE
1112,1,Elsa,2021,June,"June,2021",85,13,,,,June,,2021,June--2021
1113,1,Henri,2021,August,"August,2021",75,2,,,,August,,2021,August--2021
1110,1,Nicholas,2021,September,"September,2021",75,0,"$1,056,600,000.00 ",14-Sep,Texas,September,14,2021,September-14-2021
1104,1,Hanna,2020,July,"July,2020",90,0,"$1,171,800,000.00 ",25-Jul,Texas,July,25,2020,July-25-2020
1102,1,Isaias,2020,July,"July,2020",90,16,"$5,185,200,000.00 ",4-Aug,South Carolina,August,4,2020,August-4-2020
1106,1,Gamma,2020,October,"October,2020",75,6,,,,October,,2020,October--2020
1101,1,Isaias,2020,July,"July,2020",90,16,"$5,185,200,000.00 ",4-Aug,North Carolina,August,4,2020,August-4-2020
1096,1,Barry,2019,July,"July,2019",75,1,,13-Jul,Louisiana,July,13,2019,July-13-2019
1086,1,Nate,2017,October,"October,2017",90,48,,7-Oct,Louisiana,October,7,2017,October-7-2017
1087,1,Nate,2017,October,"October,2017",90,48,,8-Oct,Mississippi,October,8,2017,October-8-2017
1081,1,Hermine,2016,August,"August,2016",80,5,,2-Sep,Florida,September,2,2016,September-2-2016
1108,1,Marco,2020,August,"August,2020",75,1,,,,August,,2020,August--2020
1109,1,Nana,2020,September,"September,2020",75,0,,,,September,,2020,September--2020
1062,1,Isaac,2012,August,"August,2012",80,9,"$3,399,100,000.00 ",28-Aug,Louisiana,August,28,2012,August-28-2012
1043,1,Humberto,2007,September,"September,2007",90,1,"$50,000,000.00 ",13-Sep,Louisiana,September,13,2007,September-13-2007
1044,1,Humberto,2007,September,"September,2007",90,1,"$50,000,000.00 ",13-Sep,Texas,September,13,2007,September-13-2007
1031,1,Cindy,2005,July,"July,2005",75,3,"$320,000,000.00 ",6-Jul,Louisiana,July,6,2005,July-6-2005
1032,1,Ophelia,2005,September,"September,2005",85,3,"$70,000,000.00 ",14-Sep,North Carolina,September,14,2005,September-14-2005
1018,1,Gaston,2004,August,"August,2004",75,9,"$130,000,000.00 ",29-Aug,South Carolina,August,29,2004,August-29-2004
1009,1,Claudette,2003,July,"July,2003",90,3,"$181,000,000.00 ",15-Jul,Texas,July,15,2003,July-15-2003
1098,1,Pablo,2019,October,"October,2019",80,0,,,,October,,2019,October--2019
1092,1,Beryl,2018,July,"July,2018",80,0,,,,July,,2018,July--2018
983,1,Danny,1997,July,"July,1997",80,9,"$100,000,000.00 ",18-Jul,Louisiana,July,18,1997,July-18-1997
1093,1,Isaac,2018,September,"September,2018",75,0,,,,September,,2018,September--2018
1094,1,Leslie,2018,September,"September,2018",90,17,,,,September,,2018,September--2018
982,1,Danny,1997,July,"July,1997",80,9,"$100,000,000.00 ",19-Jul,Alabama,July,19,1997,July-19-1997
956,1,Chantal,1989,July,"July,1989",80,13,"$100,000,000.00 ",1-Aug,Texas,August,1,1989,August-1-1989
957,1,Jerry,1989,October,"October,1989",85,3,"$70,000,000.00 ",16-Oct,Texas,October,16,1989,October-16-1989
1085,1,Franklin,2017,August,"August,2017",85,0,,,,August,,2017,August--2017
950,1,Florence,1988,September,"September,1988",80,1,"$2,900,000.00 ",10-Sep,Louisiana,September,10,1988,September-10-1988
948,1,Floyd,1987,October,"October,1987",75,1,"$500,000.00 ",12-Oct,Florida,October,12,1987,October-12-1987
945,1,Bonnie,1986,June,"June,1986",85,5,"$42,000,000.00 ",28-Jun,Texas,June,28,1986,June-28-1986
946,1,Charley,1986,August,"August,1986",80,15,"$15,000,000.00 ",17-Aug,North Carolina,August,17,1986,August-17-1986
1079,1,Alex,2016,January,"January,2016",85,1,,,,January,,2016,January--2016
1080,1,Earl,2016,August,"August,2016",85,94,,,,August,,2016,August--2016
943,1,Bob,1985,July,"July,1985",75,5,"$20,000,000.00 ",25-Jul,South Carolina,July,25,1985,July-25-1985
942,1,Danny,1985,August,"August,1985",90,5,"$100,000,000.00 ",15-Aug,Louisiana,August,15,1985,August-15-1985
936,1,Juan,1985,October,"October,1985",85,63,"$3,906,500,000.00 ",28-Oct,Louisiana,October,28,1985,October-28-1985
914,1,Bob,1979,July,"July,1979",75,1,"$20,000,000.00 ",11-Sep,Louisiana,September,11,1979,September-11-1979
898,1,Babe,1977,September,"September,1977",75,0,"$13,000,000.00 ",5-Sep,Louisiana,September,5,1977,September-5-1977
1072,1,Fred,2015,August,"August,2015",85,9,,,,August,,2015,August--2015
1074,1,Kate,2015,November,"November,2015",85,0,,,,November,,2015,November--2015
878,1,Agnes,1972,June,"June,1972",90,128,"$2,100,000,000.00 ",19-Jun,Florida,June,19,1972,June-19-1972
1068,1,Bertha,2014,August,"August,2014",80,0,,,,August,,2014,August--2014
1069,1,Cristobal,2014,August,"August,2014",85,7,,,,August,,2014,August--2014
1070,1,Fay,2014,October,"October,2014",80,0,,,,October,,2014,October--2014
1066,1,Humberto,2013,September,"September,2013",90,0,,,,September,,2013,September--2013
1067,1,Ingrid,2013,September,"September,2013",85,32,,,,September,,2013,September--2013
1063,1,Chris,2012,June,"June,2012",85,0,,,,June,,2012,June--2012
879,1,Agnes,1972,June,"June,1972",90,128,"$2,100,000,000.00 ",22-Jun,New York,June,22,1972,June-22-1972
1064,1,Leslie,2012,August,"August,2012",80,0,,,,August,,2012,August--2012
1065,1,Nadine,2012,September,"September,2012",90,0,,,,September,,2012,September--2012
871,1,Fern,1971,September,"September,1971",90,2,"$30,200,000.00 ",10-Sep,Texas,September,10,1971,September-10-1971
844,1,Gladys,1968,October,"October,1968",85,11,"$18,700,000.00 ",19-Oct,Florida,October,19,1968,October-19-1968
1059,1,Maria,2011,September,"September,2011",80,0,,,,September,,2011,September--2011
1060,1,Nate,2011,September,"September,2011",75,5,,,,September,,2011,September--2011
1061,1,Philippe,2011,September,"September,2011",90,0,,,,September,,2011,September--2011
1056,1,Lisa,2010,September,"September,2010",85,0,,,,September,,2010,September--2010
1057,1,Otto,2010,October,"October,2010",85,0,,,,October,,2010,October--2010
1058,1,Shary,2010,October,"October,2010",75,0,,,,October,,2010,October--2010
