Index,Category,Name,Winds(MPH),Deaths, Actual Dollars ,Landfall,Month,Year,DateImpact
1193,1,Unnamed,,,,Texas,June,1851,25-Jun
1191,3,Unnamed,,,,Florida,August,1851,23-Aug
1192,1,Unnamed,,,,Georgia,August,1851,24-Aug
1025,5,Rita,180,119,"$26,455,100,000.00 ",Florida,September,2005,20-Sep
856,5,Camille,175,259,,Alabama,August,1969,18-Aug
1021,5,Katrina,175,1833,"$180,042,400,000.00 ",Florida,August,2005,25-Aug
1020,5,Katrina,175,1833,"$180,042,400,000.00 ",Alabama,August,2005,29-Aug
1008,5,Isabel,165,55,"$8,390,600,000.00 ",Virginia,September,2003,19-Sep
1076,5,Matthew,165,49,"$11,700,000,000.00 ",Georgia,October,2016,8-Oct
1077,5,Matthew,165,49,"$11,700,000,000.00 ",North Carolina,October,2016,8-Oct
14,3,Unnamed,115,,,Alabama,August,1852,26-Aug
1078,5,Matthew,165,49,"$11,700,000,000.00 ",South Carolina,October,2016,8-Oct
20,3,Unnamed,115,,,Mississippi,August,1852,26-Aug
954,5,Hugo,160,86,"$20,429,700,000.00 ",North Carolina,September,1989,22-Sep
1088,5,Michael,160,49,"$27,972,000,000.00 ",Alabama,October,2018,10-Oct
29,3,Unnamed,125,,,Texas,June,1854,26-Jun
26,3,Unnamed,125,,,Florida,September,1854,8-Sep
40,3,Unnamed,125,,,Alabama,August,1856,31-Aug
42,3,Unnamed,125,,,Georgia,August,1856,31-Aug
93,3,Unnamed,125,9,,Florida,August,1861,16-Aug
96,3,Unnamed,125,1,,Florida,August,1861,16-Aug
94,3,Unnamed,125,9,,North Carolina,September,1861,27-Sep
97,3,Unnamed,125,1,,North Carolina,September,1861,27-Sep
95,3,Unnamed,125,9,,North Carolina,November,1861,2-Nov
1284,1,Unnamed,,,,Georgia,October,1853,21-Oct
98,3,Unnamed,125,1,,North Carolina,November,1861,2-Nov
129,3,Unnamed,125,12,,South Carolina,June,1867,22-Jun
130,3,Unnamed,125,12,,Texas,October,1867,2-Oct
127,3,Unnamed,125,12,,Florida,October,1867,6-Oct
138,3,Unnamed,125,921,,Louisiana,September,1869,5-Sep
27,3,Unnamed,125,,,Georgia,September,1854,8-Sep
137,3,Unnamed,125,921,,Conneticut,September,1869,8-Sep
142,3,Unnamed,125,921,,New York,September,1869,8-Sep
143,3,Unnamed,125,921,,Rhode Island,September,1869,8-Sep
141,3,Unnamed,125,921,,Massachusetts,October,1869,4-Oct
1291,3,Unnamed,,,,Mississippi,August,1855,16-Aug
1290,3,Unnamed,,,,Louisiana,September,1855,16-Sep
334,3,Unnamed,125,175,,Alabama,September,1882,10-Sep
337,3,Unnamed,125,,,Alabama,September,1882,10-Sep
336,3,Unnamed,125,175,,Florida,October,1882,11-Oct
339,3,Unnamed,125,,,Florida,October,1882,11-Oct
343,3,Unnamed,125,10,,South Carolina,September,1883,11-Sep
368,3,Unnamed,125,7,,Florida,August,1885,24-Aug
376,3,Unnamed,125,,,Florida,August,1885,24-Aug
369,3,Unnamed,125,7,,Georgia,August,1885,25-Aug
377,3,Unnamed,125,,,Georgia,August,1885,25-Aug
424,3,Unnamed,125,,,Texas,June,1888,17-Jun
423,3,Unnamed,125,,,Mississippi,August,1888,20-Aug
133,3,Unnamed,120,,,South Carolina,June,1867,22-Jun
134,3,Unnamed,120,,,Texas,October,1867,2-Oct
1316,1,Unnamed,,,,North Carolina,September,1857,13-Sep
131,3,Unnamed,120,,,Florida,October,1867,6-Oct
159,3,Unnamed,120,10,,Alabama,July,1870,30-Jul
160,3,Unnamed,120,10,,Florida,October,1870,9-Oct
161,3,Unnamed,120,10,,Florida,October,1870,20-Oct
170,3,Unnamed,120,200,,Florida,September,1871,6-Sep
173,3,Unnamed,120,28,,Florida,September,1871,6-Sep
197,3,Unnamed,120,149,,North Carolina,September,1874,24-Sep
200,3,Unnamed,120,5,,North Carolina,September,1874,24-Sep
203,3,Unnamed,120,,,North Carolina,September,1874,24-Sep
196,3,Unnamed,120,149,,Florida,September,1874,28-Sep
199,3,Unnamed,120,5,,Florida,September,1874,28-Sep
202,3,Unnamed,120,,,Florida,September,1874,28-Sep
198,3,Unnamed,120,149,,South Carolina,September,1874,28-Sep
201,3,Unnamed,120,5,,South Carolina,September,1874,28-Sep
204,3,Unnamed,120,,,South Carolina,September,1874,28-Sep
226,3,Unnamed,120,4000,,Louisiana,September,1877,18-Sep
230,3,Unnamed,120,400,,Louisiana,September,1877,18-Sep
223,3,Unnamed,120,4000,,Florida,September,1877,19-Sep
227,3,Unnamed,120,400,,Florida,September,1877,19-Sep
225,3,Unnamed,120,4000,,Georgia,October,1877,3-Oct
229,3,Unnamed,120,400,,Georgia,October,1877,3-Oct
249,3,Unnamed,120,34,,Georgia,September,1878,11-Sep
257,3,Unnamed,120,34,,Georgia,September,1878,11-Sep
265,3,Unnamed,120,1,,Georgia,September,1878,11-Sep
253,3,Unnamed,120,34,,South Carolina,September,1878,12-Sep
261,3,Unnamed,120,34,,South Carolina,September,1878,12-Sep
269,3,Unnamed,120,1,,South Carolina,September,1878,12-Sep
247,3,Unnamed,120,34,,Deleware,October,1878,23-Oct
255,3,Unnamed,120,34,,Deleware,October,1878,23-Oct
77,3,Unnamed,115,84,,Louisiana,August,1860,11-Aug
263,3,Unnamed,120,1,,Deleware,October,1878,23-Oct
80,3,Unnamed,115,84,,Mississippi,August,1860,12-Aug
250,3,Unnamed,120,34,,Maryland,October,1878,23-Oct
