,Category_x,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars ,Category_y,DateImpact,Landfall
0,2.0,Eight,1851,July,"July,1851",105.0,,,,,
1,2.0,Five,1851,June,"June,1851",105.0,,,,,
2,3.0,Mobile,1851,July,"July,1851",115.0,300.0,,,,
3,1.0,One,1851,June,"June,1851",90.0,1.0,,,,
4,3.0,San Agapito,1851,June,"June,1851",115.0,23.0,,,,
5,1.0,Two,1851,July,"July,1851",90.0,0.0,,,,
6,2.0,Four,1852,September,"September,1852",105.0,4.0," $20,000.00 ",,,
7,1.0,Four,1852,September,"September,1852",90.0,0.0,,,,
8,3.0,Coastal,1852,September,"September,1852",125.0,26.0,,,,
9,1.0,Hurricane San Lorenzo of 1852,1852,September,"September,1852",80.0,,,,,
10,3.0,Middle Gulf Coast,1852,September,"September,1852",125.0,,,,,
11,2.0,One,1852,September,"September,1852",105.0,,,,,
12,1.0,Three,1852,September,"September,1852",80.0,0.0,,,,
13,2.0,Two,1852,September,"September,1852",105.0,0.0,,,,
14,3.0,Unnamed,1852,September,"September,1852",115.0,,,3,August 26,Alabama
15,3.0,Unnamed,1852,September,"September,1852",115.0,,,1,August 26,Florida
16,3.0,Unnamed,1852,September,"September,1852",115.0,,,1,September 12,Florida
17,3.0,Unnamed,1852,September,"September,1852",115.0,,,2,October 9,Florida
18,3.0,Unnamed,1852,September,"September,1852",115.0,,,1,October 10,Georgia
19,3.0,Unnamed,1852,September,"September,1852",115.0,,,2,August 25,Louisiana
20,3.0,Unnamed,1852,September,"September,1852",115.0,,,3,August 26,Mississippi
21,1.0,Six,1853,September,"September,1853",80.0,0.0,,,,
22,3.0,Southeastern,1853,September,"September,1853",115.0,4.0,,,,
23,2.0,Two,1853,September,"September,1853",105.0,424.0,,,,
24,2.0,Four,1854,June,"June,1854",105.0,0.0,,,,
25,1.0,One,1854,June,"June,1854",80.0,0.0,,,,
26,3.0,Unnamed,1854,June,"June,1854",125.0,,,1,September 8,Florida
27,3.0,Unnamed,1854,June,"June,1854",125.0,,,3,September 8,Georgia
28,3.0,Unnamed,1854,June,"June,1854",125.0,,,2,September 8,South Carolina
29,3.0,Unnamed,1854,June,"June,1854",125.0,,,1,June 26,Texas
30,3.0,Unnamed,1854,June,"June,1854",125.0,,,2,September 18,Texas
31,3.0,San Narciso,1855,August,"August,1855",125.0,811.0,,,,
32,2.0,Three,1855,August,"August,1855",105.0,0.0,,,,
33,1.0,Three,1855,August,"August,1855",80.0,0.0,,,,
34,4.0,Last Island,1856,August,"August,1856",,,,,,
35,3.0,New England,1856,August,"August,1856",115.0,12.0,,,,
36,2.0,One,1856,September,"September,1856",105.0,0.0,,,,
37,2.0,Six,1856,August,"August,1856",105.0,0.0,,,,
38,1.0,Six,1856,September,"September,1856",80.0,0.0,,,,
39,1.0,Two,1856,August,"August,1856",80.0,0.0,,,,
40,3.0,Unnamed,1856,September,"September,1856",125.0,,,1,August 31,Alabama
41,3.0,Unnamed,1856,September,"September,1856",125.0,,,2,August 31,Florida
42,3.0,Unnamed,1856,September,"September,1856",125.0,,,1,August 31,Georgia
43,3.0,Unnamed,1856,September,"September,1856",125.0,,,4,August 11,Louisiana
44,3.0,San Marcos,1857,September,"September,1857",115.0,1200.0,,,,
45,1.0,Three,1857,September,"September,1857",80.0,0.0,,,,
46,2.0,Two,1857,September,"September,1857",105.0,0.0,,,,
47,3.0,Central Florida,1858,September,"September,1858",115.0,26.0,,,,
48,1.0,Five,1858,September,"September,1858",90.0,0.0,,,,
49,2.0,Four,1858,June,"June,1858",105.0,0.0,,,,
50,1.0,Four,1858,September,"September,1858",90.0,0.0,,,,
51,2.0,Four,1858,September,"September,1858",100.0,,,,,
52,3.0,Nova Scotia,1858,September,"September,1858",115.0,600.0,,,,
53,1.0,One,1858,June,"June,1858",80.0,0.0,,,,
54,3.0,Santa Juana,1858,August,"August,1858",115.0,27.0,,,,
55,2.0,Six,1858,September,"September,1858",105.0,,,,,
56,2.0,Two,1858,August,"August,1858",100.0,0.0,,,,
57,1.0,Two,1858,August,"August,1858",80.0,0.0,,,,
58,3.0,Unnamed,1858,June,"June,1858",115.0,,,1,September 16,Conneticut
