Index,Category_x,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars ,Category_y,DateImpact,Landfall,Updated
14,3,Unnamed,1852,September,"September,1852",115,,,3,26-Aug,Alabama,3
40,3,Unnamed,1856,September,"September,1856",125,,,1,31-Aug,Alabama,3
70,3,Unnamed,1859,October,"October,1859",115,,,1,16-Sep,Alabama,3
75,3,Unnamed,1860,September,"September,1860",115,84,,2,12-Aug,Alabama,3
76,3,Unnamed,1860,September,"September,1860",115,84,,1,16-Sep,Alabama,3
159,3,Unnamed,1870,July,"July,1870",120,10,,1,30-Jul,Alabama,3
334,3,Unnamed,1882,August,"August,1882",125,175,,1,10-Sep,Alabama,3
337,3,Unnamed,1882,September,"September,1882",125,,,1,10-Sep,Alabama,3
611,4,Unnamed,1926,,",1926",,,,3,21-Aug,Alabama,4
648,4,Unnamed,1932,,",1932",,,,1,1-Sep,Alabama,4
856,5,Camille,1969,August,"August,1969",175,259,,1,18-Aug,Alabama,5
918,4,Frederic,1979,September,"September,1979",,,,4,13-Sep,Alabama,4
972,4,Opal,1995,October,"October,1995",,27,"$8,674,700,000.00 ",1,4-Oct,Alabama,4
982,1,Danny,1997,July,"July,1997",80,9,"$100,000,000.00 ",1,19-Jul,Alabama,1
1012,5,Ivan,2004,September,"September,2004",165,57,"$30,545,800,000.00 ",3,16-Sep,Alabama,3
1020,5,Katrina,2005,August,"August,2005",175,1833,"$180,042,400,000.00 ",1,29-Aug,Alabama,5
1029,4,Dennis,2005,July,"July,2005",,15,"$3,617,800,000.00 ",1,10-Jul,Alabama,4
1088,5,Michael,2018,October,"October,2018",160,49,"$27,972,000,000.00 ",1,10-Oct,Alabama,5
1116,,Unnamed,1893,,,,,,2,3-Oct,Alabama,2
1129,,Unnamed,1901,,,,,,1,15-Aug,Alabama,1
1133,,Unnamed,1906,,,,,,2,27-Sep,Alabama,2
1141,,Unnamed,1912,,,,,,1,14-Sep,Alabama,1
1144,,Unnamed,1916,,,,,,2,5-Jul,Alabama,2
1145,,Unnamed,1916,,,,,,2,18-Oct,Alabama,2
1151,,Unnamed,1917,,,,,,1,29-Sep,Alabama,1
1154,,Baker,1950,,,,,,1,31-Aug,Alabama,1
