,Name,Category,DateImpact,Year,Landfall
1,Unnamed,1,31-Aug,1856,Alabama
2,Unnamed,1,16-Sep,1859,Alabama
4,Unnamed,1,16-Sep,1860,Alabama
5,Unnamed,1,30-Jul,1870,Alabama
6,Unnamed,1,10-Sep,1882,Alabama
8,Unnamed,1,15-Aug,1901,Alabama
10,Unnamed,1,14-Sep,1912,Alabama
13,Unnamed,1,29-Sep,1917,Alabama
15,Unnamed,1,1-Sep,1932,Alabama
16,Baker,1,31-Aug,1950,Alabama
17,Camille,1,18-Aug,1969,Alabama
18,Eloise,1,23-Sep,1975,Alabama
21,Opal,1,4-Oct,1995,Alabama
22,Danny,1,19-Jul,1997,Alabama
24,Dennis,1,10-Jul,2005,Alabama
25,Katrina,1,29-Aug,2005,Alabama
26,Michael,1,10-Oct,2018,Alabama
28,Zeta,1,29-Oct,2020,Alabama
29,Unnamed,1,16-Sep,1858,Conneticut
30,Unnamed,1,8-Sep,1869,Conneticut
31,Unnamed,1,24-Aug,1893,Conneticut
32,Unnamed,1,10-Oct,1894,Conneticut
34,Unnamed,1,15-Sep,1944,Conneticut
36,Donna,1,12-Sep,1960,Conneticut
37,Gloria,1,27-Sep,1985,Conneticut
39,Unnamed,1,23-Oct,1878,Deleware
40,Unnamed,1,16-Sep,1903,Deleware
42,Unnamed,1,26-Aug,1852,Florida
43,Unnamed,1,12-Sep,1852,Florida
45,Unnamed,1,8-Sep,1854,Florida
47,Unnamed,1,16-Sep,1859,Florida
48,Unnamed,1,28-Oct,1859,Florida
49,Unnamed,1,16-Aug,1861,Florida
51,Unnamed,1,6-Oct,1867,Florida
52,Unnamed,1,9-Oct,1870,Florida
53,Unnamed,1,20-Oct,1870,Florida
56,Unnamed,1,6-Sep,1871,Florida
58,Unnamed,1,19-Sep,1873,Florida
59,Unnamed,1,28-Sep,1874,Florida
61,Unnamed,1,19-Sep,1877,Florida
65,Unnamed,1,8-Oct,1880,Florida
67,Unnamed,1,11-Oct,1882,Florida
68,Unnamed,1,24-Aug,1885,Florida
71,Unnamed,1,18-Jul,1886,Florida
72,Unnamed,1,27-Jul,1887,Florida
75,Unnamed,1,24-Aug,1891,Florida
76,Unnamed,1,27-Aug,1893,Florida
81,Unnamed,1,3-Aug,1898,Florida
85,Unnamed,1,11-Aug,1903,Florida
86,Unnamed,1,17-Oct,1904,Florida
87,Unnamed,1,16-Jun,1906,Florida
92,Unnamed,1,11-Aug,1911,Florida
93,Unnamed,1,14-Sep,1912,Florida
94,Unnamed,1,1-Aug,1915,Florida
95,Unnamed,1,4-Sep,1915,Florida
101,Unnamed,1,15-Sep,1924,Florida
102,Unnamed,1,21-Oct,1924,Florida
105,Unnamed,1,21-Oct,1926,Florida
109,Unnamed,1,1-Sep,1932,Florida
110,Unnamed,1,30-Jul,1933,Florida
115,Unnamed,1,11-Aug,1939,Florida
118,Unnamed,1,24-Jun,1945,Florida
120,Unnamed,1,8-Oct,1946,Florida
122,Unnamed,1,11-Oct,1947,Florida
128,Florence,1,26-Sep,1953,Florida
129,Hazel,1,9-Oct,1953,Florida
130,Flossy,1,24-Sep,1956,Florida
139,Agnes,1,19-Jun,1972,Florida
144,Floyd,1,12-Oct,1987,Florida
148,Earl,1,3-Sep,1998,Florida
150,Irene,1,15-Oct,1999,Florida
156,Katrina,1,25-Aug,2005,Florida
157,Rita,1,20-Sep,2005,Florida
159,Hermine,1,2-Sep,2016,Florida
164,Unnamed,1,24-Aug,1851,Georgia
165,Unnamed,1,10-Oct,1852,Georgia
166,Unnamed,1,21-Oct,1853,Georgia
168,Unnamed,1,31-Aug,1856,Georgia
169,Unnamed,1,3-Oct,1877,Georgia
170,Unnamed,1,11-Sep,1878,Georgia
172,Unnamed,1,25-Aug,1885,Georgia
173,Unnamed,1,21-Jun,1886,Georgia
174,Unnamed,1,30-Jun,1886,Georgia
176,Unnamed,1,9-Oct,1894,Georgia
178,Unnamed,1,31-Aug,1898,Georgia
180,Unnamed,1,28-Aug,1911,Georgia
181,Unnamed,1,18-Sep,1928,Georgia
182,"""Labor Day""",1,5-Sep,1935,Georgia
183,Unnamed,1,11-Aug,1940,Georgia
185,Unnamed,1,27-Aug,1949,Georgia
187,Kate,1,22-Nov,1985,Georgia
188,Matthew,1,8-Oct,2016,Georgia
198,Unnamed,1,5-Sep,1869,Louisiana
199,Unnamed,1,18-Sep,1877,Louisiana
204,Unnamed,1,19-Oct,1887,Louisiana
206,Unnamed,1,23-Sep,1889,Louisiana
209,Unnamed,1,12-Sep,1897,Louisiana
210,Unnamed,1,14-Aug,1901,Louisiana
211,Unnamed,1,27-Sep,1906,Louisiana
213,Unnamed,1,17-Aug,1915,Louisiana
218,Unnamed,1,16-Oct,1923,Louisiana
221,Unnamed,1,15-Aug,1938,Louisiana
224,Unnamed,1,4-Sep,1948,Louisiana
227,Ethel,1,15-Sep,1964,Louisiana
233,Babe,1,5-Sep,1977,Louisiana
234,Bob,1,11-Sep,1979,Louisiana
235,Danny,1,15-Aug,1985,Louisiana
236,Juan,1,28-Oct,1985,Louisiana
237,Florence,1,10-Sep,1988,Louisiana
239,Danny,1,18-Jul,1997,Louisiana
240,Lili,1,3-Oct,2002,Louisiana
241,Cindy,1,6-Jul,2005,Louisiana
244,Humberto,1,13-Sep,2007,Louisiana
246,Isaac,1,28-Aug,2012,Louisiana
247,Nate,1,7-Oct,2017,Louisiana
248,Barry,1,13-Jul,2019,Louisiana
254,Gloria,1,27-Sep,1985,Maine
255,Unnamed,1,23-Oct,1878,Maryland
256,Unnamed,1,23-Aug,1933,Maryland
257,Unnamed,1,16-Sep,1858,Massachusetts
